index,block_num,line_num,word_num,left,top,width,height,text
0,0,0,0,0,0,1174,450,
1,1,0,0,8,9,107,435,
2,1,0,0,8,9,107,435,
3,1,1,0,8,9,107,21,
4,1,1,1,8,9,107,21,first_name
5,1,2,0,10,41,72,17,
6,1,2,1,10,41,72,17,Ricardo
7,1,3,0,10,73,65,17,
8,1,3,1,10,73,65,17,Nelson
9,1,4,0,10,106,45,20,
10,1,4,1,10,106,45,20,Egan
11,1,5,0,10,137,65,17,
12,1,5,1,10,137,65,17,Ronald
13,1,6,0,8,170,43,16,
14,1,6,1,8,170,43,16,Juan
15,1,7,0,10,199,71,17,
16,1,7,1,10,199,71,17,Richard
17,1,8,0,8,231,43,17,
18,1,8,1,8,231,43,17,John
19,1,9,0,10,263,81,21,
20,1,9,1,10,263,81,21,Leighton
21,1,10,0,8,296,62,16,
22,1,10,1,8,296,62,16,Trevor
23,1,11,0,10,327,46,17,
24,1,11,1,10,327,46,17,Mehl
25,1,12,0,9,359,75,17,
26,1,12,1,9,359,75,17,Christer
27,1,13,0,8,391,61,17,
28,1,13,1,8,391,61,17,Anand
29,1,14,0,8,424,48,20,
30,1,14,1,8,424,48,20,Vijay
31,2,0,0,138,9,103,435,
32,2,0,0,138,9,103,435,
33,2,1,0,139,9,102,21,
34,2,1,1,139,9,102,21,last_name
35,2,2,0,138,42,58,16,
36,2,2,1,138,42,58,16,Acuna
37,2,3,0,138,74,51,16,
38,2,3,1,138,74,51,16,Aerts
39,2,4,0,138,105,67,17,
40,2,4,1,138,105,67,17,Adams
41,2,5,0,138,138,70,20,
42,2,5,1,138,138,70,20,Agenor
43,2,6,0,138,169,80,21,
44,2,6,1,138,169,80,21,Aguilera
45,2,7,0,138,199,40,17,
46,2,7,1,138,199,40,17,Akel
47,2,8,0,138,231,98,17,
48,2,8,1,138,231,98,17,Alexander
49,2,9,0,138,263,59,17,
50,2,9,1,138,263,59,17,Alfred
51,2,10,0,138,295,49,17,
52,2,10,1,138,295,49,17,Allan
53,2,11,0,138,328,69,20,
54,2,11,1,138,328,69,20,Ampon
55,2,12,0,138,359,81,21,
56,2,12,1,138,359,81,21,Allgardh
57,2,13,0,138,392,80,20,
58,2,13,1,138,392,80,20,Amritraj
59,2,14,0,138,424,80,20,
60,2,14,1,138,424,80,20,Amritraj
61,3,0,0,268,9,95,431,
62,3,0,0,268,9,95,431,
63,3,1,0,268,9,95,21,
64,3,1,1,268,9,95,21,flag_code
65,3,2,0,269,42,29,16,
66,3,2,1,269,42,29,16,CHI
67,3,3,0,270,74,40,16,
68,3,3,1,270,74,40,16,BRA
69,3,4,0,270,106,40,16,
70,3,4,1,270,106,40,16,USA
71,3,5,0,270,138,40,16,
72,3,5,1,270,138,40,16,USA
73,3,6,0,270,170,33,16,
74,3,6,1,270,170,33,16,ESP
75,3,7,0,270,200,40,16,
76,3,7,1,270,200,40,16,USA
77,3,8,0,268,232,40,16,
78,3,8,1,268,232,40,16,AUS
79,3,9,0,269,264,41,16,
80,3,9,1,269,264,41,16,GBR
81,3,10,0,268,296,40,16,
82,3,10,1,268,296,40,16,AUS
83,3,11,0,270,328,40,16,
84,3,11,1,270,328,40,16,USA
85,3,12,0,269,360,44,16,
86,3,12,1,269,360,44,16,SWE
87,3,13,0,270,392,34,16,
88,3,13,1,270,392,34,16,IND
89,3,14,0,270,424,34,16,
90,3,14,1,270,424,34,16,IND